Polymer Index,type_A,type_B1,type_B2,type_C,composition_A,composition_B1,composition_B2,composition_C,block_sequence_theoretical,block_sequence_experimental,dpn,Target,NMR,GPC,clogP,Dispersity,MIC_PAO1,MIC_PA,MIC_EC,MIC_AB,MIC_SA,MIC_MSmeg,MIC_PAO1_PA
75,Boc-AEAm,PEAm,NIPAm,HEAm,0.3,0.31,0.15999999999999995,0.23,,,40,6769,5300.0,12200.0,2.7,1.1,32.0,,,,128.0,128.0,32
76,Boc-AEAm,PEAm,NIPAm,HEAm,0.3,0.16,0.30999999999999994,0.23,,,40,6383,4700.0,11400.0,0.8,1.11,64.0,,,,128.0,128.0,64
77,Boc-AEAm,PEAm,NIPAm,HEAm,0.3,0.0,0.47,0.23,,,40,5996,3900.0,14000.0,-1.2,1.11,128.0,,,,128.0,128.0,128
78,Boc-AEAm,PEAm,NIPAm,HEAm,0.3,0.7,0.0,0.0,,,40,7716,6300.0,11000.0,10.3,1.11,128.0,,,,128.0,128.0,128
79,Boc-AEAm,PEAm,NIPAm,HEAm,0.3,0.47,0.22999999999999998,0.0,,,40,7137,4700.0,10400.0,7.4,1.11,128.0,,,,128.0,128.0,128
80,Boc-AEAm,PEAm,NIPAm,HEAm,0.3,0.23,0.47,0.0,,,40,6557,4100.0,10800.0,4.4,1.1,32.0,,,,128.0,128.0,32
81,Boc-AEAm,PEAm,NIPAm,HEAm,0.3,0.0,0.7,0.0,,,40,5978,3200.0,11300.0,1.5,1.13,128.0,,,,128.0,128.0,128
82,DMAEA,PEAm,NIPAm,HEAm,1.0,0.0,0.0,0.0,,,40,5966,3700.0,5600.0,,1.29,128.0,,,,128.0,128.0,128
83,DMAEA,PEAm,NIPAm,HEAm,0.7,0.0,0.0,0.3,,,40,5629,4800.0,11700.0,,1.5,128.0,,,,128.0,128.0,128
84,DMAEA,PEAm,NIPAm,HEAm,0.7,0.1,0.0,0.2,,,40,5869,5300.0,11000.0,,1.48,128.0,,,,128.0,128.0,128
85,DMAEA,PEAm,NIPAm,HEAm,0.7,0.07,0.030000000000000027,0.2,,,40,5785,4900.0,11000.0,,1.5,128.0,,,,128.0,128.0,128
86,DMAEA,PEAm,NIPAm,HEAm,0.7,0.03,0.07,0.2,,,40,5702,4700.0,11000.0,,1.51,128.0,,,,128.0,128.0,128
87,DMAEA,PEAm,NIPAm,HEAm,0.7,0.0,0.10000000000000003,0.2,,,40,5621,5000.0,10800.0,,1.5,128.0,,,,128.0,128.0,128
88,DMAEA,PEAm,NIPAm,HEAm,0.7,0.2,0.0,0.1,,,40,6110,5300.0,10400.0,,1.5,128.0,,,,128.0,128.0,128
89,DMAEA,PEAm,NIPAm,HEAm,0.7,0.13,0.07000000000000003,0.1,,,40,5942,5700.0,10400.0,,1.49,128.0,,,,128.0,128.0,128
90,DMAEA,PEAm,NIPAm,HEAm,0.7,0.07,0.13000000000000003,0.1,,,40,5777,5000.0,9400.0,,1.53,128.0,,,,128.0,128.0,128
91,DMAEA,PEAm,NIPAm,HEAm,0.7,0.0,0.20000000000000004,0.1,,,40,5613,4700.0,9700.0,,1.45,128.0,,,,128.0,128.0,128
92,DMAEA,PEAm,NIPAm,HEAm,0.7,0.3,0.0,0.0,,,40,6350,6200.0,9400.0,,1.48,128.0,,,,128.0,128.0,128
93,DMAEA,PEAm,NIPAm,HEAm,0.7,0.2,0.10000000000000003,0.0,,,40,6102,5400.0,9500.0,,1.5,128.0,,,,128.0,128.0,128
94,DMAEA,PEAm,NIPAm,HEAm,0.7,0.1,0.20000000000000004,0.0,,,40,5854,4600.0,8800.0,,1.41,128.0,,,,128.0,128.0,128
95,DMAEA,PEAm,NIPAm,HEAm,0.7,0.0,0.30000000000000004,0.0,,,40,5605,4300.0,8600.0,,1.49,128.0,,,,128.0,128.0,128
96,DMAEA,PEAm,NIPAm,HEAm,0.5,0.0,0.0,0.5,,,40,5405,4600.0,13600.0,,1.44,128.0,,,,128.0,128.0,128
97,DMAEA,PEAm,NIPAm,HEAm,0.5,0.17,0.0,0.33,,,40,5804,5300.0,13200.0,,1.47,128.0,,,,128.0,128.0,128
98,DMAEA,PEAm,NIPAm,HEAm,0.5,0.11,0.06,0.33,,,40,5666,5000.0,13400.0,,1.47,128.0,,,,128.0,128.0,128
99,DMAEA,PEAm,NIPAm,HEAm,0.5,0.06,0.10999999999999999,0.33,,,40,5528,4800.0,12200.0,,1.46,128.0,,,,128.0,128.0,128
100,DMAEA,PEAm,NIPAm,HEAm,0.5,0.0,0.16999999999999998,0.33,,,40,5390,3700.0,11100.0,,1.45,128.0,,,,128.0,128.0,128
101,DMAEA,PEAm,NIPAm,HEAm,0.5,0.33,0.0,0.17,,,40,6206,6000.0,10800.0,,1.42,128.0,,,,128.0,128.0,128
102,DMAEA,PEAm,NIPAm,HEAm,0.5,0.22,0.11000000000000001,0.17,,,40,5930,4300.0,10600.0,,1.43,128.0,,,,128.0,64.0,128
103,DMAEA,PEAm,NIPAm,HEAm,0.5,0.11,0.22,0.17,,,40,5654,4700.0,10300.0,,1.44,128.0,,,,128.0,128.0,128
104,DMAEA,PEAm,NIPAm,HEAm,0.5,0.0,0.32999999999999996,0.17,,,40,5378,4300.0,10300.0,,1.48,128.0,,,,128.0,128.0,128
105,DMAEA,PEAm,NIPAm,HEAm,0.5,0.5,0.0,0.0,,,40,6607,5800.0,9000.0,,1.41,128.0,,,,128.0,32.0,128
106,DMAEA,PEAm,NIPAm,HEAm,0.5,0.33,0.16999999999999998,0.0,,,40,6193,4400.0,8900.0,,1.41,128.0,,,,128.0,128.0,128
107,DMAEA,PEAm,NIPAm,HEAm,0.5,0.17,0.32999999999999996,0.0,,,40,5779,3600.0,9300.0,,1.49,128.0,,,,128.0,128.0,128
108,DMAEA,PEAm,NIPAm,HEAm,0.5,0.0,0.5,0.0,,,40,5365,3600.0,8800.0,,1.5,128.0,,,,128.0,128.0,128
109,DMAEA,PEAm,NIPAm,HEAm,0.3,0.0,0.0,0.7,,,40,5180,5000.0,14000.0,,1.35,128.0,,,,128.0,128.0,128
110,DMAEA,PEAm,NIPAm,HEAm,0.3,0.23,0.0,0.47,,,40,5741,5100.0,13600.0,,1.38,128.0,,,,128.0,128.0,128
111,DMAEA,PEAm,NIPAm,HEAm,0.3,0.16,0.06999999999999995,0.47,,,40,5549,4400.0,13000.0,,1.34,128.0,,,,128.0,128.0,128
112,DMAEA,PEAm,NIPAm,HEAm,0.3,0.08,0.15000000000000002,0.47,,,40,5355,4000.0,13100.0,,1.34,128.0,,,,128.0,128.0,128
